job title,company name,location,skills,links
Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript · Web Services · ReactJS,https://wuzzuf.net/jobs/p/Wrdr2Xlz7Iw0-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbl
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Agile · Python · Information Technology (IT) · Software Development · Flask · SQL · Computer Science · HTML · CSS · AWS,https://wuzzuf.net/jobs/p/ixZFQx49DuUY-Senior-Python-Developer-Crevisoft-Corporation-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbl
Python Developer,ADVINTIC,"Cairo, Egypt ",Full timeWork from homeEntry Level · 1 - 3 Yrs of Exp · Python · Software Development · Computer Science · Information Technology (IT) · Software · HTML · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/1JoaiLsEbEba-Python-Developer-ADVINTIC-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbl
Backend Engineer - Python/Django,Paymob Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development · javaScript · REST · APIs,https://wuzzuf.net/jobs/p/dgFpvP0U4T0Z-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbl
"Full Stack Developer PHP, PYTHON, REACT - Remote Full Time",Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",Full timeWork from homeExperienced · 2 - 5 Yrs of Exp · PHP · CSS · Laravel · javaScript · Computer Science · PHP Developer · React · Python · English · React Native,https://wuzzuf.net/jobs/p/y2mQB5Amdd2g-Full-Stack-Developer-PHP-PYTHON-REACT---Remote-Full-Time-Tqniat-Lab-L-L-C-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbl
Full-Stack Flutter & Python Developer,Confidential -,"Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · javaScript · Python · Flutter · Full Stack · REST API · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/homUAav94PQ1-Full-Stack-Flutter-Python-Developer-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbl
Senior Python (Django) Full Stack Developer (Remote - Part Time),Confidential -,"Cairo, Egypt ",Part timeWork from homeExperienced · 3 - 5 Yrs of Exp · Software Development · Python · Computer Science · Information Technology (IT) · javaScript · Flask · React · Django · Bottle · Full Stack,https://wuzzuf.net/jobs/p/FhJBDIpIYv21-Senior-Python-Django-Full-Stack-Developer-Remote---Part-Time-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbl
Software Engineer - Backend Development (Python Django),Synapse Analytics,"Heliopolis, Cairo, Egypt ",Full timeEntry Level · 0 - 5 Yrs of Exp · Docker · Git · Application Security · TLS · SSL · HTTPS · SQL · DevOps · TCP · IP,https://wuzzuf.net/jobs/p/zU2KNX6nyy1U-Software-Engineer---Backend-Development-Python-Django-Synapse-Analytics-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbl
Senior Python Developer,"Nile Bits, LLC","6th of October, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Python · Django · ORM · Web Development · javaScript · HTML5 · CSS · Git · Mercurial · SVN,https://wuzzuf.net/jobs/p/KJ1HdMKdN10N-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbl
Senior Python Full Stack Engineer,Flairstech,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · javaScript · Python · Software Development · Programming · Development · Typescript · Webpack · Computer Science · Information Technology (IT) · Design,https://wuzzuf.net/jobs/p/YE0TvAZWa2st-Senior-Python-Full-Stack-Engineer-Flairstech-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbl
Senior Python Developer,AL-Salam Digital Services,"Nasr City, Cairo, Egypt ",Full timeWork from homeExperienced · 5+ Yrs of Exp · Python · Information Technology (IT) · Computer Science · Django · PostgreSQL · Software Development · HTML · SQL · MySQL · javaScript,https://wuzzuf.net/jobs/p/wnYXZKjDv3mb-Senior-Python-Developer-AL-Salam-Digital-Services-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|navbl
Python Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1+ Yrs of Exp · Computer Science · Software Development · Software Engineering · JavaScript · jQuery · CSS · HTML · Python · Odoo · PHP,https://wuzzuf.net/jobs/p/7NxDQGvQ6IqX-Python-Developer-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbl
Python Backend Developer,"Bonocle, Inc.","Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Python · Django · Flask · Python Developer · Backend · Information Technology (IT) · Computer Science · Software Development · Computer Engineering · Engineering,https://wuzzuf.net/jobs/p/pMu2xKvv67b6-Python-Backend-Developer-Bonocle-Inc-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbl
Python With Pandas.,Cegedim,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Pandas · Python · Software Engineering · Web Development · Numpy · SQL · Database · S3 · Git · Data,https://wuzzuf.net/jobs/p/Mz2c4SZcNbI0-Python-With-Pandas-Cegedim-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbl
Full Stack Python Developer,Div Systems,"Mokattam, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Angular · SQL · HTML5 · Web Development · CSS3 · Python · javaScript,https://wuzzuf.net/jobs/p/GelxQqszHihh-Full-Stack-Python-Developer-Div-Systems-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|navbl
Odoo Developer,Crevisoft Corporation,"Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Odoo · Python · HTML · PostgreSQL · XML · API · Information Technology (IT) · Computer Science · Linux · jQuery,https://wuzzuf.net/jobs/p/kZDSiZgPQLrN-Odoo-Developer-Crevisoft-Corporation-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|navbl
